date,game,player_name,cluster,line,prediction,edge,edge_pct,direction,pick,confidence,agreement,model_std,blowout_risk,best_over_odds,best_under_odds,best_odds_for_bet,imp_over_prob,imp_under_prob,model_win_prob,kelly,m1_xgb,m4_mean,m5_context,m7_matchup,n_books
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Max Christie,C2,2.5,1.43,-1.07,42.8,UNDER,STRONG UNDER,94,HIGH,0.441,0.25,134,-173,-173,0.403,0.597,0.992,0.4891,1.42,1.42,1.48,2.07,3
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Evan Mobley,C3,2.5,3.35,0.85,34,OVER,STRONG OVER,94,HIGH,0.435,0.18,-132,113,-132,0.548,0.452,0.975,0.471,3.2,3.2,3.94,3.58,3
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Sam Merrill,C2,2.5,1.67,-0.83,33.2,UNDER,STRONG UNDER,94,HIGH,0.251,0,118,-152,-152,0.432,0.568,0.997,0.4962,1.62,1.62,1.87,2.1,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Jaden McDaniels,C2,2.5,1.7,-0.8,32,UNDER,STRONG UNDER,94,HIGH,0.24,0.18,-161,124,124,0.58,0.42,0.996,0.4964,1.73,1.73,1.62,2.2,3
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Jaylon Tyson,C1,2.5,0.83,-1.67,66.8,UNDER,STRONG UNDER,91,HIGH,0.196,0,104,-123,-123,0.471,0.529,1,0.5,0.87,0.87,0.69,0.73,2
2026-03-01,Memphis Grizzlies @ Indiana Pacers,Jarace Walker,C1,3.5,1.4,-2.1,60,UNDER,STRONG UNDER,91,HIGH,0.435,0.14,109,-132,-132,0.457,0.543,1,0.5,1.36,1.36,1.6,1.17,2
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Jarrett Allen,C3,1.5,2.3,0.8,53.3,OVER,STRONG OVER,91,HIGH,0.35,0.16,-144,115,-144,0.559,0.441,0.989,0.4866,2.32,2.32,2.21,2.82,2
2026-03-01,San Antonio Spurs @ New York Knicks,Victor Wembanyama,C4,2.5,3.73,1.23,49.2,OVER,STRONG OVER,91,HIGH,0.326,0.14,-169,134,-169,0.595,0.405,1,0.5,3.78,3.78,3.55,4.39,2
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Noah Clowney,C2,1.5,0.88,-0.62,41.3,UNDER,STRONG UNDER,91,HIGH,0.353,0.15,-107,-114,-114,0.492,0.508,0.96,0.4572,0.84,0.84,1.03,1.87,2
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,Terance Mann,C2,2.5,1.66,-0.84,33.6,UNDER,STRONG UNDER,91,HIGH,0.287,0.11,-123,104,104,0.529,0.471,0.997,0.4971,1.67,1.67,1.61,1.97,2
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Guerschon Yabusele,C2,1.5,2.18,0.68,45.3,OVER,STRONG OVER,88,HIGH,0.322,0.08,-139,106,-139,0.545,0.455,0.983,0.4797,2.09,2.09,2.55,2.64,1
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Bennedict Mathurin,C2,3.5,1.94,-1.56,44.6,UNDER,STRONG UNDER,88,HIGH,0.079,0.14,142,-192,-192,0.386,0.614,1,0.5,1.94,1.94,1.92,2.15,1
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Saddiq Bey,C2,2.5,1.48,-1.02,40.8,UNDER,STRONG UNDER,88,HIGH,0.223,0.01,-114,-114,-114,0.5,0.5,1,0.5,1.45,1.45,1.58,2.08,1
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Dejounte Murray,C4,5.5,6.83,1.33,24.2,OVER,STRONG OVER,88,HIGH,0.491,0.05,-125,-106,-125,0.519,0.481,0.997,0.4966,6.76,6.76,7.12,5.92,1
2026-03-01,Philadelphia 76ers @ Boston Celtics,Tyrese Maxey,C4,7.5,6.13,-1.37,18.3,UNDER,STRONG UNDER,86,HIGH,0.49,0.23,120,112,112,0.491,0.509,0.997,0.4972,6.15,6.15,6.04,5.03,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Anthony Edwards,C4,3.5,4.68,1.18,33.7,OVER,STRONG OVER,84,HIGH,0.462,0.34,-154,119,-154,0.57,0.43,0.995,0.4936,4.83,4.83,4.06,4.79,3
2026-03-01,Detroit Pistons @ Orlando Magic,Anthony Black,C2,3.5,2.38,-1.12,32,UNDER,STRONG UNDER,84,HIGH,0.451,0.37,116,-138,-138,0.444,0.556,0.993,0.4917,2.25,2.25,2.9,2.66,3
2026-03-01,Detroit Pistons @ Orlando Magic,Jalen Suggs,C4,3.5,2.98,-0.52,14.9,UNDER,STRONG UNDER,81,HIGH,0.487,0.08,-143,114,114,0.557,0.443,0.857,0.3658,3.04,3.04,2.76,3.96,3
2026-03-01,Detroit Pistons @ Orlando Magic,Paolo Banchero,C4,4.5,5.12,0.62,13.8,OVER,STRONG OVER,80,HIGH,0.107,0.02,-147,114,-147,0.56,0.44,0.981,0.4765,5.15,5.15,5.01,5.03,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Ryan Rollins,C1,5.5,1.96,-3.54,64.4,UNDER,UNDER,74,MED,0.984,0.18,-108,-120,-120,0.488,0.512,1,0.5,1.68,1.68,3.08,2.11,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Matas Buzelis,C2,2.5,1.13,-1.37,54.8,UNDER,UNDER,74,MED,0.509,0.28,145,-174,-174,0.391,0.609,0.996,0.4945,0.99,0.99,1.72,2.24,3
2026-03-01,Detroit Pistons @ Orlando Magic,Desmond Bane,C4,3.5,5.37,1.87,53.4,OVER,OVER,74,MED,0.594,0.29,-131,114,-131,0.548,0.452,0.999,0.4988,5.44,5.44,5.12,4.53,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Kevin Porter Jr.,C2,7.5,3.57,-3.93,52.4,UNDER,UNDER,74,MED,0.797,0.27,-129,104,104,0.535,0.465,1,0.5,3.36,3.36,4.39,3.6,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Donte DiVincenzo,C4,4.5,3.04,-1.46,32.4,UNDER,UNDER,74,MED,0.595,0.21,121,118,118,0.497,0.503,0.993,0.4935,3.09,3.09,2.82,4.51,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Naz Reid,C2,2.5,1.87,-0.63,25.2,UNDER,UNDER,74,MED,0.513,0.16,-106,-122,-122,0.484,0.516,0.89,0.3779,1.78,1.78,2.23,2.34,3
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Cason Wallace,C2,2.5,2.09,-0.41,16.4,UNDER,STRONG UNDER,74,HIGH,0.461,0.43,-147,115,115,0.561,0.439,0.813,0.3252,1.96,1.96,2.59,2.7,3
2026-03-01,Memphis Grizzlies @ Indiana Pacers,Andrew Nembhard,C2,7.5,4.55,-2.95,39.3,UNDER,UNDER,71,MED,0.737,0.09,-104,-118,-118,0.485,0.515,1,0.5,4.56,4.56,4.52,3.16,2
2026-03-01,San Antonio Spurs @ New York Knicks,Devin Vassell,C4,2.5,3.34,0.84,33.6,OVER,OVER,71,MED,0.553,0.16,158,-196,158,0.369,0.631,0.936,0.4477,3.49,3.49,2.73,3.84,2
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Cam Thomas,C4,2.5,3.2,0.7,28,OVER,OVER,71,MED,0.864,0.03,146,-191,146,0.382,0.618,0.791,0.3239,3.07,3.07,3.71,5.26,2
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Kawhi Leonard,C4,4.5,3.33,-1.17,26,UNDER,STRONG UNDER,68,HIGH,0.43,0.64,-146,110,110,0.555,0.445,0.997,0.4971,3.39,3.39,3.07,4.31,1
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Isaiah Hartenstein,C3,3.5,3.05,-0.45,12.9,UNDER,STRONG UNDER,68,HIGH,0.112,0.41,-114,-109,-109,0.505,0.495,0.933,0.43,3.08,3.08,2.96,2.95,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Payton Pritchard,C2,5.5,3.56,-1.94,35.3,UNDER,UNDER,64,MED,0.585,0.48,100,-127,-127,0.472,0.528,1,0.5,3.43,3.43,4.05,3.29,3
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Khris Middleton,C2,3.5,4.62,1.12,32,OVER,OVER,64,MED,0.858,0.36,130,-165,130,0.411,0.589,0.904,0.4151,4.84,4.84,3.77,2.7,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Kyle Kuzma,C4,2.5,3.14,0.64,25.6,OVER,OVER,64,MED,0.844,0.38,116,-128,116,0.452,0.548,0.776,0.2914,3.33,3.33,2.37,4.38,3
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Naji Marshall,C2,3.5,2.72,-0.78,22.3,UNDER,UNDER,62,MED,0.815,0.47,100,-129,-129,0.47,0.53,0.831,0.3065,2.49,2.49,3.65,3.36,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Tre Jones,C2,4.5,5.67,1.17,26,OVER,OVER,59,LOW,1.027,0.14,-127,110,-127,0.54,0.46,0.873,0.3559,5.43,5.43,6.64,4.37,3
2026-03-01,New Orleans Pelicans @ Los Angeles Clippers,Kris Dunn,C2,4.5,3.07,-1.43,31.8,UNDER,UNDER,58,MED,0.681,0.5,-158,118,118,0.572,0.428,0.982,0.4834,3.29,3.29,2.17,2.01,1
2026-03-01,San Antonio Spurs @ New York Knicks,Josh Hart,C3,4.5,5.17,0.67,14.9,OVER,OVER,58,MED,0.971,0.26,-154,119,-154,0.57,0.43,0.755,0.1889,4.96,4.96,6.03,4.4,2
2026-03-01,San Antonio Spurs @ New York Knicks,Mikal Bridges,C4,3.5,3.95,0.45,12.9,OVER,OVER,58,MED,0.784,0.13,108,-118,108,0.47,0.53,0.717,0.2275,3.71,3.71,4.92,5.58,3
2026-03-01,Detroit Pistons @ Orlando Magic,Cade Cunningham,C4,10.5,8.17,-2.33,22.2,UNDER,UNDER,57,LOW,1.139,0.01,-114,100,100,0.516,0.484,0.98,0.48,8.32,8.32,7.57,5.08,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Jaylen Brown,C4,4.5,4.01,-0.49,10.9,UNDER,UNDER,55,MED,0.521,0.13,-119,102,102,0.523,0.477,0.827,0.3287,4.05,4.05,3.87,4.71,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Collin Sexton,C4,3.5,4.45,0.95,27.1,OVER,OVER,54,MED,0.503,0.74,113,-138,113,0.447,0.553,0.971,0.4727,4.59,4.59,3.92,5.26,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Cameron Johnson,C4,2.5,3.19,0.69,27.6,OVER,OVER,53,LOW,1.251,0.24,152,-200,152,0.373,0.627,0.709,0.2588,2.85,2.85,4.56,5.72,1
2026-03-01,San Antonio Spurs @ New York Knicks,Karl-Anthony Towns,C4,2.5,2.95,0.45,18,OVER,OVER,53,MED,0.602,0.33,-102,-120,-102,0.481,0.519,0.773,0.2707,3.05,3.05,2.52,4.22,2
2026-03-01,San Antonio Spurs @ New York Knicks,Jose Alvarado,C2,3,3.5,0.5,16.7,OVER,OVER,51,MED,0.667,0.57,140,120,140,0.478,0.522,0.773,0.3054,3.35,3.35,4.09,2.99,2
2026-03-01,San Antonio Spurs @ New York Knicks,Jalen Brunson,C4,6.5,7.03,0.53,8.2,OVER,OVER,51,MED,0.771,0.11,112,120,112,0.509,0.491,0.754,0.2672,7.04,7.04,6.98,6.29,3
2026-03-01,San Antonio Spurs @ New York Knicks,Stephon Castle,C2,6.5,4.5,-2,30.8,UNDER,UNDER,49,LOW,1.46,0.31,100,-127,-127,0.472,0.528,0.915,0.4035,4.08,4.08,6.2,4.1,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Quentin Grimes,C2,3.5,2.77,-0.73,20.9,UNDER,UNDER,45,LOW,1.473,0.32,-114,-110,-110,0.504,0.496,0.69,0.1745,2.32,2.32,4.59,3.38,3
2026-03-01,Detroit Pistons @ Orlando Magic,Tobias Harris,C3,2.5,2.65,0.15,6,OVER,PASS,68,HIGH,0.273,0.21,144,148,144,0.504,0.496,0.691,0.2382,2.66,2.66,2.61,2.74,3
2026-03-01,Detroit Pistons @ Orlando Magic,Tristan da Silva,C2,1.5,1.39,-0.11,7.3,UNDER,PASS,64,HIGH,0.359,0.1,-124,-106,-106,0.518,0.482,0.62,0.1086,1.47,1.47,1.08,1.73,1
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Julius Randle,C4,4.5,4.74,0.24,5.3,OVER,PASS,57,HIGH,0.376,0.48,-145,112,-145,0.556,0.444,0.738,0.179,4.8,4.8,4.52,5.15,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Jamal Murray,C4,6.5,6.19,-0.31,4.8,UNDER,PASS,56,HIGH,0.434,0.32,-122,-104,-104,0.519,0.481,0.762,0.2572,6.27,6.27,5.84,4.99,3
2026-03-01,Detroit Pistons @ Orlando Magic,Ausar Thompson,C3,2.5,2.23,-0.27,10.8,UNDER,PASS,55,MED,0.611,0.14,-130,100,100,0.531,0.469,0.671,0.171,2.09,2.09,2.8,2.95,3
2026-03-01,Minnesota Timberwolves @ Denver Nuggets,Christian Braun,C2,2.5,2.25,-0.25,10,UNDER,PASS,44,MED,0.727,0.5,-101,-128,-128,0.472,0.528,0.635,0.0839,2.07,2.07,2.97,2.65,3
2026-03-01,San Antonio Spurs @ New York Knicks,OG Anunoby,C4,2.5,2.22,-0.28,11.2,UNDER,PASS,43,MED,0.846,0.31,122,-159,-159,0.423,0.577,0.63,0.0208,2.17,2.17,2.43,4.58,2
2026-03-01,San Antonio Spurs @ New York Knicks,De'Aaron Fox,C4,5.5,5.88,0.38,6.9,OVER,PASS,39,MED,0.637,0.41,112,110,112,0.498,0.502,0.725,0.2397,5.92,5.92,5.74,5.22,3
2026-03-01,Milwaukee Bucks @ Chicago Bulls,Josh Giddey,C3,7.5,6.29,-1.21,16.1,UNDER,PASS,38,LOW,1.892,0.43,108,-128,-128,0.461,0.539,0.739,0.2025,5.89,5.89,7.88,5.26,3
2026-03-01,Philadelphia 76ers @ Boston Celtics,Derrick White,C4,5.5,5.17,-0.33,6,UNDER,PASS,38,MED,0.839,0.46,-135,108,108,0.544,0.456,0.653,0.1659,4.94,4.94,6.11,5.76,3
2026-03-01,Cleveland Cavaliers @ Brooklyn Nets,James Harden,C4,8.5,8.66,0.16,1.9,OVER,PASS,29,MED,0.9,0.34,-102,-125,-102,0.476,0.524,0.571,0.0667,8.61,8.61,8.89,6.75,2
2026-03-01,Oklahoma City Thunder @ Dallas Mavericks,Shai Gilgeous-Alexander,C4,6.5,6.42,-0.08,1.2,UNDER,PASS,21,MED,0.633,0.67,-138,107,107,0.546,0.454,0.55,0.0647,6.3,6.3,6.91,6.23,3
